 0.0100    0  147   0 108
 0.0104    1  144   0 111
 0.0107    2  141   0 114
 0.0111    3  138   0 117
 0.0115    4  135   0 120
 0.0119    5  132   0 123
 0.0123    6  129   0 126
 0.0127    7  126   0 129
 0.0132    8  123   0 132
 0.0136    9  120   0 135
 0.0141   10  117   0 138
 0.0146   11  114   0 141
 0.0151   12  111   0 144
 0.0157   13  108   0 147
 0.0162   14  105   0 150
 0.0168   15  102   0 153
 0.0174   16   99   0 156
 0.0180   17   96   0 159
 0.0186   18   93   0 162
 0.0193   19   90   0 165
 0.0200   20   87   0 168
 0.0207   21   84   0 171
 0.0214   22   81   0 174
 0.0221   23   78   0 177
 0.0229   24   75   0 180
 0.0237   25   72   0 183
 0.0245   26   69   0 186
 0.0254   27   66   0 189
 0.0263   28   63   0 192
 0.0272   29   60   0 195
 0.0282   30   57   0 198
 0.0292   31   54   0 201
 0.0302   32   51   0 204
 0.0313   33   48   0 207
 0.0324   34   45   0 210
 0.0335   35   42   0 213
 0.0347   36   39   0 216
 0.0359   37   36   0 219
 0.0372   38   33   0 222
 0.0385   39   30   0 225
 0.0398   40   27   0 228
 0.0412   41   24   0 231
 0.0427   42   21   0 234
 0.0442   43   18   0 237
 0.0457   44   15   0 240
 0.0473   45   12   0 243
 0.0490   46    9   0 246
 0.0507   47    6   0 249
 0.0525   48    0   0 252
 0.0543   49    0   0 255
 0.0562   50    0   5 255
 0.0582   51    0  10 255
 0.0603   52    0  16 255
 0.0624   53    0  21 255
 0.0646   54    0  26 255
 0.0668   55    0  32 255
 0.0692   56    0  37 255
 0.0716   57    0  42 255
 0.0741   58    0  48 255
 0.0767   59    0  53 255
 0.0794   60    0  58 255
 0.0822   61    0  64 255
 0.0851   62    0  69 255
 0.0881   63    0  74 255
 0.0912   64    0  80 255
 0.0944   65    0  85 255
 0.0977   66    0  90 255
 0.1012   67    0  96 255
 0.1047   68    0 101 255
 0.1084   69    0 106 255
 0.1122   70    0 112 255
 0.1161   71    0 117 255
 0.1202   72    0 122 255
 0.1245   73    0 128 255
